Segment,1,2,3,4,Total
t189,1.1351978844133455e-8,1.266486825909764e-8,2.1277813396751795e-8,6.650680330130021e-8,1.118014638012831e-7
t190,1.1158034658897082e-8,1.2423945551362755e-8,2.0606464897219985e-8,6.036020747724776e-8,1.0454865258472758e-7
t191,1.115463155834652e-8,1.2419726589659592e-8,2.059486116932782e-8,6.026075004442953e-8,1.0442996936176347e-7
t192,1.1154631437185581e-8,1.2419726416956921e-8,2.059486066564427e-8,6.026074147898625e-8,1.0442995999877302e-7
t193,1.11546310967627e-8,1.2419725978073177e-8,2.0594859437581103e-8,6.026072791402526e-8,1.0442994442644224e-7
t194,1.1154630651610306e-8,1.2419725416038157e-8,2.059485788004916e-8,6.026071282459058e-8,1.044299267722882e-7
t195,1.1121260398399203e-8,1.2378370623778459e-8,2.0481391121718435e-8,5.9299463750429884e-8,1.0328048589432598e-7
t196,1.1121259907891373e-8,1.2378370017160258e-8,2.0481389462889802e-8,5.929945012221299e-8,1.0328046951015443e-7
t197,1.1121260743277547e-8,1.2378371060697803e-8,2.0481392332234435e-8,5.929947592230109e-8,1.0328050005851088e-7
t198,1.115463052747922e-8,1.2419725287418535e-8,2.0594857564715093e-8,6.02607159651716e-8,1.0442992934478444e-7
t199,1.1154630840215284e-8,1.2419725701514521e-8,2.059485873881981e-8,6.026073157567294e-8,1.0442994685622255e-7
t200,1.1154630244129283e-8,1.2419724980827603e-8,2.0594856782623944e-8,6.026071889580908e-8,1.0442993090338991e-7
t201,1.0950755231250332e-8,1.2167505703167731e-8,1.9910464800762022e-8,5.4753748033235615e-8,9.778247376841571e-8
t202,1.0950754025656578e-8,1.2167504219202759e-8,1.991046083709343e-8,5.475371945439606e-8,9.778243853634883e-8
t203,1.095075401035435e-8,1.2167504202416242e-8,1.9910460796676503e-8,5.475371971390689e-8,9.778243872335398e-8
t204,1.0950754009750442e-8,1.2167504200794576e-8,1.99104607914156e-8,5.475371953471587e-8,9.77824385366765e-8
