Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,unmet,Total
t369,443.91600000000005,0.0,0.0,0.0,0.0,0.44391600000000003
t370,446.754,0.0,0.0,0.0,0.0,0.44675400000000004
t371,449.6910000000001,0.0,0.0,0.0,0.0,0.44969100000000006
t372,448.602,0.0,0.0,0.0,0.0,0.448602
t373,445.92900000000003,0.0,0.0,0.0,0.0,0.445929
t374,444.807,0.0,0.0,0.0,0.0,0.444807
t375,438.80100000000004,0.0,0.0,0.0,0.0,0.43880100000000005
t376,433.653,0.0,0.0,0.0,0.0,0.433653
t377,434.379,0.0,0.0,0.0,0.0,0.434379
t378,437.84400000000005,0.0,0.0,0.0,0.0,0.43784400000000007
t379,440.84700000000004,0.0,0.0,0.0,0.0,0.44084700000000004
t380,460.38300000000004,0.0,0.0,0.0,0.0,0.46038300000000004
t381,462.132,0.0,0.0,0.0,0.0,0.462132
t382,430.51800000000003,0.0,0.0,0.0,0.0,0.430518
t383,386.166,0.0,0.0,0.0,0.0,0.386166
t384,346.137,0.0,0.0,0.0,0.0,0.34613700000000003
t385,321.453,0.0,0.0,0.0,0.0,0.321453
t386,308.682,0.0,0.0,0.0,0.0,0.308682
t387,303.00600000000003,0.0,0.0,0.0,0.0,0.30300600000000005
t388,303.00600000000003,0.0,0.0,0.0,0.0,0.30300600000000005
t389,313.104,0.0,0.0,0.0,0.0,0.313104
t390,345.9390000000001,0.0,0.0,0.0,0.0,0.34593900000000005
t391,400.785,0.0,0.0,0.0,0.0,0.400785
t392,437.481,0.0,0.0,0.0,0.0,0.437481
t393,446.68800000000005,0.0,0.0,0.0,0.0,0.44668800000000003
t394,944.5977645186314,0.0,0.0,0.0,0.0,0.9445977645186314
t395,911.524666774012,0.0,0.0,0.0,0.0,0.911524666774012
t396,449.163,0.0,0.0,0.0,0.0,0.44916300000000003
t397,444.675,0.0,0.0,0.0,0.0,0.444675
t398,442.6290000000001,0.0,0.0,0.0,0.0,0.44262900000000005
t399,437.4150000000001,0.0,0.0,0.0,0.0,0.43741500000000005
t400,432.86100000000005,0.0,0.0,0.0,0.0,0.43286100000000005
t401,433.95000000000005,0.0,0.0,0.0,0.0,0.43395000000000006
t402,438.603,0.0,0.0,0.0,0.0,0.438603
t403,443.058,0.0,0.0,0.0,0.0,0.443058
t404,652.6662444912006,0.0,0.0,0.0,0.0,0.6526662444912006
t405,462.82500000000005,0.0,0.0,0.0,0.0,0.46282500000000004
t406,432.069,0.0,0.0,0.0,0.0,0.43206900000000004
t407,388.87200000000007,0.0,0.0,0.0,0.0,0.38887200000000005
t408,349.371,0.0,0.0,0.0,0.0,0.349371
t409,323.664,0.0,0.0,0.0,0.0,0.323664
t410,310.167,0.0,0.0,0.0,0.0,0.31016699999999997
t411,303.996,0.0,0.0,0.0,0.0,0.303996
t412,303.831,0.0,0.0,0.0,0.0,0.303831
t413,313.269,0.0,0.0,0.0,0.0,0.313269
t414,346.46700000000004,0.0,0.0,0.0,0.0,0.346467
t415,400.488,0.0,0.0,0.0,0.0,0.400488
t416,435.336,0.0,0.0,0.0,0.0,0.435336
t417,444.213,0.0,0.0,0.0,0.0,0.444213
t418,446.82,0.0,0.0,0.0,0.0,0.44682
t419,448.338,0.0,0.0,0.0,0.0,0.448338
t420,448.701,0.0,0.0,0.0,0.0,0.448701
t421,446.952,0.0,0.0,0.0,0.0,0.446952
t422,446.49,0.0,0.0,0.0,0.0,0.44649
t423,441.11100000000005,0.0,0.0,0.0,0.0,0.44111100000000003
t424,436.98600000000005,0.0,0.0,0.0,0.0,0.43698600000000004
t425,438.30600000000004,0.0,0.0,0.0,0.0,0.43830600000000003
t426,443.454,0.0,0.0,0.0,0.0,0.443454
t427,444.807,0.0,0.0,0.0,0.0,0.444807
t428,460.911,0.0,0.0,0.0,0.0,0.460911
t429,463.287,0.0,0.0,0.0,0.0,0.463287
t430,435.105,0.0,0.0,0.0,0.0,0.435105
t431,393.261,0.0,0.0,0.0,0.0,0.393261
t432,353.199,0.0,0.0,0.0,0.0,0.353199
t433,328.05300000000005,0.0,0.0,0.0,0.0,0.32805300000000004
t434,315.513,0.0,0.0,0.0,0.0,0.315513
t435,309.47400000000005,0.0,0.0,0.0,0.0,0.309474
t436,309.50699999999995,0.0,0.0,0.0,0.0,0.309507
t437,319.14300000000003,0.0,0.0,0.0,0.0,0.319143
